,Start,Target,StartLatitude,TargetLatitude,StartLongitude,TargetLongitude,Distance
89,"Aberdeen, Scotland","Panama City, Panama",57.15,8.966666666666667,-2.15,-79.53333333333333,8413.160787324841
90,"Aberdeen, Scotland","Paramaribo, Suriname",57.15,5.75,-2.15,-55.25,7322.822660219409
91,"Aberdeen, Scotland","Paris, France",57.15,48.8,-2.15,2.3333333333333335,976.2874763883448
92,"Aberdeen, Scotland","Perth, Australia",57.15,-31.95,-2.15,115.86666666666666,14595.255952448204
93,"Aberdeen, Scotland","Plymouth, England",57.15,50.416666666666664,-2.15,-4.083333333333333,760.0999201113519
94,"Aberdeen, Scotland","Port Moresby, Papua New Guinea",57.15,-9.416666666666666,-2.15,147.13333333333333,14088.87363223131
95,"Aberdeen, Scotland","Prague, Czech Republic",57.15,50.083333333333336,-2.15,14.433333333333334,1344.4396966044235
96,"Aberdeen, Scotland","Rangoon, Myanmar",57.15,16.833333333333332,-2.15,96.0,8931.850894376194
97,"Aberdeen, Scotland","Reykjavk, Iceland",57.15,64.06666666666666,-2.15,-21.966666666666665,1322.1983895488945
98,"Aberdeen, Scotland","Rio de Janeiro, Brazil",57.15,-22.95,-2.15,-43.2,9668.457931989258
99,"Aberdeen, Scotland","Rome, Italy",57.15,41.9,-2.15,12.45,1989.1154634866575
100,"Aberdeen, Scotland","Salvador, Brazil",57.15,-12.933333333333334,-2.15,-38.45,8454.623405916016
101,"Aberdeen, Scotland","Santiago, Chile",57.15,-33.46666666666667,-2.15,-70.75,11912.72753326118
102,"Aberdeen, Scotland","St. Petersburg, Russia",57.15,59.93333333333333,-2.15,30.3,1895.1713760670443
103,"Aberdeen, Scotland","So Paulo, Brazil",57.15,-23.516666666666666,-2.15,-46.516666666666666,9852.255475578691
104,"Aberdeen, Scotland","Shanghai, China",57.15,31.166666666666668,-2.15,121.46666666666667,8888.749083649529
105,"Aberdeen, Scotland","Singapore, Singapore",57.15,1.2333333333333334,-2.15,103.91666666666667,10854.211063558208
106,"Aberdeen, Scotland","Sofia, Bulgaria",57.15,42.666666666666664,-2.15,23.333333333333332,2412.4362534917636
107,"Aberdeen, Scotland","Stockholm, Sweden",57.15,59.28333333333333,-2.15,18.05,1205.8448069879637
108,"Aberdeen, Scotland","Sydney, Australia",57.15,-34.0,-2.15,151.0,16735.20881420139
109,"Aberdeen, Scotland","Tananarive, Madagascar",57.15,-18.833333333333332,-2.15,47.55,9597.66052603819
110,"Aberdeen, Scotland","Teheran, Iran",57.15,35.75,-2.15,51.75,4611.724959654879
111,"Aberdeen, Scotland","Tokyo, Japan",57.15,35.666666666666664,-2.15,139.75,9116.112911111966
112,"Aberdeen, Scotland","Tripoli, Libya",57.15,32.95,-2.15,13.2,2933.0063975167795
113,"Aberdeen, Scotland","Venice, Italy",57.15,45.43333333333333,-2.15,12.333333333333334,1642.0487882471039
114,"Aberdeen, Scotland","Veracruz, Mexico",57.15,19.166666666666668,-2.15,-96.16666666666667,8474.906177654635
115,"Aberdeen, Scotland","Vienna, Austria",57.15,48.233333333333334,-2.15,16.333333333333332,1586.9383026593007
116,"Aberdeen, Scotland","Vladivostok, Russia",57.15,43.166666666666664,-2.15,132.0,8095.574445306157
117,"Aberdeen, Scotland","Warsaw, Poland",57.15,52.233333333333334,-2.15,21.0,1580.5909289920496
118,"Aberdeen, Scotland","Wellington, New Zealand",57.15,-41.28333333333333,-2.15,174.78333333333333,18225.93056396331
